id,year,statistic,name,team,value,top_25
326,1936,,Bump Hadley,New York,0.778,Top 25
327,1936,,Tommy Bridges,Detroit,23.0,Top 25
328,1937,,Wes Ferrell,Boston,26.0,Top 25
329,1937,,Wes Ferrell,Washington,26.0,Top 25
330,1937,,Lefty Gomez,New York,2.33,Top 25
331,1937,,Clint Brown,Chicago,53.0,Top 25
332,1937,,Clint Brown,Chicago,18.0,Top 25
333,1937,,Lefty Gomez,New York,6.0,Top 25
334,1937,,Lefty Gomez,New York,194.0,Top 25
335,1937,,Johnny Allen,Cleveland,0.938,Top 25
336,1938,,Bobo Newsom,St. Louis,31.0,Top 25
337,1938,,Lefty Grove,Boston,3.08,Top 25
338,1938,,Johnny Humphries,Cleveland,45.0,Top 25
339,1938,,Johnny Murphy,New York,11.0,Top 25
340,1938,,Lefty Gomez,New York,4.0,Top 25
341,1938,,Bob Feller,Cleveland,240.0,Top 25
342,1938,,Red Ruffing,New York,0.75,Top 25
343,1939,,Bobo Newsom,St. Louis,24.0,Top 25
344,1939,,Bobo Newsom,Detroit,24.0,Top 25
345,1939,,Lefty Grove,Boston,2.54,Top 25
346,1939,,Clint Brown,Chicago,61.0,Top 25
347,1939,,Johnny Murphy,New York,19.0,Top 25
348,1939,,Red Ruffing,New York,5.0,Top 25
349,1939,,Bob Feller,Cleveland,246.0,Top 25
350,1939,,Lefty Grove,Boston,0.789,Top 25
351,1940,,Bob Feller,Cleveland,31.0,Top 25
352,1940,,Bob Feller,Cleveland,2.61,Top 25
353,1940,,Bob Feller,Cleveland,43.0,Top 25
354,1940,,Al Benton,Detroit,17.0,Top 25
355,1940,,Bob Feller,Cleveland,4.0,Top 25
356,1940,,Ted Lyons,Chicago,4.0,Top 25
357,1940,,Al Milnar,Cleveland,4.0,Top 25
358,1940,,Bob Feller,Cleveland,261.0,Top 25
359,1940,,Schoolboy Rowe,Detroit,0.842,Top 25
360,1941,,Thornton Lee,Chicago,30.0,Top 25
361,1941,,Thornton Lee,Chicago,2.37,Top 25
362,1941,,Bob Feller,Cleveland,44.0,Top 25
363,1941,,Johnny Murphy,New York,15.0,Top 25
364,1941,,Bob Feller,Cleveland,6.0,Top 25
365,1941,,Bob Feller,Cleveland,260.0,Top 25
366,1941,,Lefty Gomez,New York,0.75,Top 25
367,1941,,Bob Feller,Cleveland,25.0,Top 25
368,1942,,Tiny Bonham,New York,22.0,Top 25
369,1942,,Tex Hughson,Boston,22.0,Top 25
370,1942,,Ted Lyons,Chicago,2.1,Top 25
371,1942,,Joe Haynes,Chicago,40.0,Top 25
372,1942,,Johnny Murphy,New York,11.0,Top 25
373,1942,,Tiny Bonham,New York,6.0,Top 25
374,1942,,Tex Hughson,Boston,113.0,Top 25
375,1942,,Bobo Newsom,Washington,113.0,Top 25
376,1942,,Tiny Bonham,New York,0.808,Top 25
377,1942,,Tex Hughson,Boston,22.0,Top 25
378,1943,,Spud Chandler,New York,20.0,Top 25
379,1943,,Tex Hughson,Boston,20.0,Top 25
380,1943,,Spud Chandler,New York,1.64,Top 25
381,1943,,Mace Brown,Boston,49.0,Top 25
382,1943,,Gordon Maltzberger,Chicago,14.0,Top 25
383,1943,,Spud Chandler,New York,5.0,Top 25
384,1943,,Dizzy Trout,Detroit,5.0,Top 25
385,1943,,Allie Reynolds,Cleveland,151.0,Top 25
386,1943,,Spud Chandler,New York,0.833,Top 25
387,1943,,Spud Chandler,New York,20.0,Top 25
388,1944,,Dizzy Trout,Detroit,33.0,Top 25
389,1944,,Dizzy Trout,Detroit,2.12,Top 25
390,1944,,Joe Heving,Cleveland,63.0,Top 25
391,1944,,Joe Berry,Philadelphia,12.0,Top 25
392,1944,,George Caster,St. Louis,12.0,Top 25
393,1944,,Gordon Maltzberger,Chicago,12.0,Top 25
394,1944,,Dizzy Trout,Detroit,7.0,Top 25
395,1944,,Hal Newhouser,Detroit,187.0,Top 25
396,1944,,Tex Hughson,Boston,0.783,Top 25
397,1944,,Hal Newhouser,Detroit,29.0,Top 25
398,1945,,Hal Newhouser,Detroit,29.0,Top 25
399,1945,,Hal Newhouser,Detroit,1.81,Top 25
400,1945,,Joe Berry,Philadelphia,52.0,Top 25
401,1945,,Jim Turner,New York,10.0,Top 25
402,1945,,Hal Newhouser,Detroit,8.0,Top 25
403,1945,,Hal Newhouser,Detroit,212.0,Top 25
404,1945,,Hal Newhouser,Detroit,0.735,Top 25
405,1945,,Hal Newhouser,Detroit,25.0,Top 25
406,1946,,Bob Feller,Cleveland,36.0,Top 25
407,1946,,Hal Newhouser,Detroit,1.94,Top 25
408,1946,,Bob Feller,Cleveland,48.0,Top 25
409,1946,,Bob Klinger,Boston,9.0,Top 25
410,1946,,Bob Feller,Cleveland,10.0,Top 25
411,1946,,Bob Feller,Cleveland,348.0,Top 25
412,1946,,Dave Ferriss,Boston,0.806,Top 25
413,1946,,Bob Feller,Cleveland,26.0,Top 25
414,1947,,Hal Newhouser,Detroit,24.0,Top 25
415,1947,,Joe Haynes,Chicago,2.42,Top 25
416,1947,,Ed Klieman,Cleveland,58.0,Top 25
417,1947,,Ed Klieman,Cleveland,17.0,Top 25
418,1947,,Joe Page,New York,17.0,Top 25
419,1947,,Bob Feller,Cleveland,5.0,Top 25
420,1947,,Bob Feller,Cleveland,196.0,Top 25
421,1947,,Allie Reynolds,New York,0.704,Top 25
422,1948,,Bob Lemon,Cleveland,20.0,Top 25
423,1948,,Gene Bearden,Cleveland,2.43,Top 25
424,1948,,Joe Page,New York,55.0,Top 25
425,1948,,Russ Christopher,Cleveland,17.0,Top 25
426,1948,,Bob Lemon,Cleveland,10.0,Top 25
427,1948,,Bob Feller,Cleveland,164.0,Top 25
428,1948,,Jack Kramer,Boston,0.783,Top 25
429,1949,,Mel Parnell,Boston,27.0,Top 25
430,1949,,Mike Garcia,Cleveland,2.36,Top 25
431,1949,,Joe Page,New York,60.0,Top 25
432,1949,,Joe Page,New York,27.0,Top 25
433,1949,,Ellis Kinder,Boston,6.0,Top 25
434,1949,,Virgil Trucks,Detroit,6.0,Top 25
435,1949,,Virgil Trucks,Detroit,153.0,Top 25
436,1949,,Ellis Kinder,Boston,0.793,Top 25
437,1950,,Ned Garver,St. Louis,22.0,Top 25
438,1950,,Bob Lemon,Cleveland,22.0,Top 25
439,1950,,Early Wynn,Cleveland,3.2,Top 25
440,1950,,Mickey Harris,Washington,53.0,Top 25
441,1950,,Mickey Harris,Washington,15.0,Top 25
442,1950,,Art Houtteman,Detroit,4.0,Top 25
443,1950,,Bob Lemon,Cleveland,170.0,Top 25
444,1950,,Vic Raschi,New York,0.724,Top 25
445,1950,,Bob Lemon,Cleveland,23.0,Top 25
446,1951,,Ned Garver,St. Louis,24.0,Top 25
447,1951,,Saul Rogovin,Detroit,2.78,Top 25
448,1951,,Saul Rogovin,Chicago,2.78,Top 25
449,1951,,Ellis Kinder,Boston,63.0,Top 25
450,1951,,Ellis Kinder,Boston,14.0,Top 25
451,1951,,Allie Reynolds,New York,7.0,Top 25
452,1951,,Vic Raschi,New York,164.0,Top 25
453,1951,,Bob Feller,Cleveland,0.733,Top 25
454,1951,,Bob Feller,Cleveland,22.0,Top 25
455,1952,,Bob Lemon,Cleveland,28.0,Top 25
456,1952,,Allie Reynolds,New York,2.06,Top 25
457,1952,,Bill Kennedy,Chicago,47.0,Top 25
458,1952,,Harry Dorish,Chicago,11.0,Top 25
459,1952,,Mike Garcia,Cleveland,6.0,Top 25
460,1952,,Allie Reynolds,New York,6.0,Top 25
461,1952,,Allie Reynolds,New York,160.0,Top 25
462,1952,,Bobby Shantz,Philadelphia,0.774,Top 25
463,1952,,Bobby Shantz,Philadelphia,24.0,Top 25
464,1953,,Bob Porterfield,Washington,24.0,Top 25
465,1953,,Ed Lopat,New York,2.42,Top 25
466,1953,,Ellis Kinder,Boston,69.0,Top 25
467,1953,,Ellis Kinder,Boston,27.0,Top 25
468,1953,,Bob Porterfield,Washington,9.0,Top 25
469,1953,,Billy Pierce,New York,186.0,Top 25
470,1953,,Ed Lopat,New York,0.8,Top 25
471,1953,,Bob Porterfield,Washington,22.0,Top 25
472,1954,,Bob Lemon,Cleveland,21.0,Top 25
473,1954,,Bob Porterfield,Washington,21.0,Top 25
474,1954,,Mike Garcia,Cleveland,2.64,Top 25
475,1954,,Sonny Dixon,Washington,54.0,Top 25
476,1954,,Sonny Dixon,Philadelphia,54.0,Top 25
477,1954,,Johnny Sain,New York,22.0,Top 25
478,1954,,Mike Garcia,Cleveland,5.0,Top 25
479,1954,,Virgil Trucks,Chicago,5.0,Top 25
480,1954,,Bob Turley,Baltimore,185.0,Top 25
481,1954,,Sandy Consuegra,Chicago,0.842,Top 25
482,1954,,Bob Lemon,Cleveland,23.0,Top 25
483,1954,,Early Wynn,Cleveland,23.0,Top 25
484,1955,,Whitey Ford,New York,18.0,Top 25
485,1955,,Billy Pierce,Chicago,1.97,Top 25
486,1955,,Ray Narleski,Cleveland,60.0,Top 25
487,1955,,Ray Narleski,Cleveland,19.0,Top 25
488,1955,,Billy Hoeft,Detroit,7.0,Top 25
489,1955,,Herb Score,Cleveland,245.0,Top 25
490,1955,,Tommy Byrne,New York,0.762,Top 25
491,1955,,Whitey Ford,New York,18.0,Top 25
492,1955,,Bob Lemon,Cleveland,18.0,Top 25
493,1955,,Frank Sullivan,Boston,18.0,Top 25
494,1956,,Bob Lemon,Cleveland,21.0,Top 25
495,1956,,Billy Pierce,Chicago,21.0,Top 25
496,1956,,Whitey Ford,New York,2.47,Top 25
497,1956,,George Zuverink,Baltimore,62.0,Top 25
